MSOA01NAME,DrugCrimes,Total_Population,Employment_DS,Income_DS,LONG,LAT
Bridgend 013,19,5453,0.064,0.076,-3.59798,51.5155
Bridgend 014,81,8169,0.299,0.322,-3.61686,51.5046
Bridgend 015,32,6005,0.07,0.069,-3.58058,51.5138
Bridgend 016,4,6226,0.086,0.131,-3.54836,51.5
Bridgend 017,6,10455,,,-3.56422,51.5085
The Vale of Glamorgan 001,0,5281,0.05,0.047,-3.60274,51.5039
The Vale of Glamorgan 002,3,6180,0.044,0.046,-3.56918,51.4696
The Vale of Glamorgan 003,12,6679,0.055,0.057,-3.449,51.4687
The Vale of Glamorgan 004,9,8714,0.098,0.121,-3.33413,51.4534
The Vale of Glamorgan 005,9,9858,0.069,0.089,-3.19526,51.4447
The Vale of Glamorgan 006,0,7799,0.042,0.042,-3.17656,51.4388
The Vale of Glamorgan 007,7,9153,0.287,0.415,-3.22914,51.4421
The Vale of Glamorgan 008,4,10031,0.034,0.025,-3.27047,51.4195
The Vale of Glamorgan 009,12,8543,0.063,0.054,-3.18508,51.4165
The Vale of Glamorgan 010,2,5477,0.058,0.057,-3.24373,51.4167
The Vale of Glamorgan 011,4,8936,0.091,0.073,-3.29495,51.4118
The Vale of Glamorgan 012,50,10843,0.197,0.244,-3.51849,51.4123
The Vale of Glamorgan 013,17,9010,0.159,0.221,-3.26262,51.4111
The Vale of Glamorgan 014,9,11356,0.072,0.084,-3.2816,51.4076
The Vale of Glamorgan 015,24,8476,0.144,0.161,-3.43123,51.406
"Rhondda, Cynon, Taff 029",29,8012,0.105,0.109,-3.26178,51.398
"Rhondda, Cynon, Taff 031",3,11000,0.058,0.068,-3.42825,51.5429
Cardiff 005,14,9110,0.155,0.205,-3.39361,51.517
Cardiff 012,2,7384,0.061,0.088,-3.18582,51.5289
Cardiff 018,6,5753,0.033,0.03,-3.21256,51.5206
Cardiff 019,0,6818,0.052,0.042,-3.18952,51.5133
Cardiff 020,6,7748,0.04,0.033,-3.16964,51.5135
Cardiff 021,5,5962,0.047,0.054,-3.21844,51.5121
Cardiff 023,12,8344,0.265,0.356,-3.20413,51.5115
Cardiff 024,9,6335,0.053,0.055,-3.21568,51.5042
Cardiff 025,17,8790,0.048,0.092,-3.15881,51.5038
Cardiff 026,4,8997,0.056,0.035,-3.19548,51.5003
Cardiff 027,9,6342,0.167,0.205,-3.22795,51.4937
Cardiff 028,20,8922,0.031,0.076,-3.24507,51.4974
Cardiff 029,12,6322,0.04,0.032,-3.18334,51.4983
Cardiff 030,18,8079,0.065,0.132,-3.14685,51.4985
Cardiff 031,31,6639,0.254,0.312,-3.17013,51.4968
Cardiff 032,132,11199,0.023,0.043,-3.23925,51.4902
Cardiff 033,32,10087,0.17,0.194,-3.18287,51.4845
Cardiff 034,4,6531,0.057,0.094,-3.16538,51.4888
Cardiff 035,10,5947,0.066,0.075,-3.20081,51.4895
Cardiff 036,79,10371,0.182,0.241,-3.21925,51.485
Cardiff 038,34,6048,0.186,0.28,-3.15697,51.4863
Cardiff 039,19,7507,0.253,0.452,-3.15136,51.4779
Cardiff 040,8,8357,0.095,0.109,-3.25135,51.4815
Cardiff 041,26,6406,0.273,0.341,-3.21192,51.4765
Cardiff 042,34,7240,0.218,0.285,-3.23179,51.4785
Cardiff 043,12,5886,0.086,0.108,-3.19297,51.4795
Cardiff 044,17,8423,0.172,0.241,-3.26864,51.4717
Cardiff 045,25,6454,0.174,0.213,-3.18522,51.4716
Cardiff 046,12,6816,0.122,0.161,-3.25126,51.4704
,8,6043,,,-3.19781,51.4678
,142,8228,,,-3.15805,51.4604
Swansea 028,1,5927,0.059,0.068,-3.17298,51.468
Swansea 029,8,6448,0.211,0.241,-4.03068,51.5877
Swansea 031,4,7476,0.068,0.066,-4.01333,51.5845
Neath Port Talbot 018,12,7073,0.229,0.226,-4.00879,51.5713
Neath Port Talbot 019,8,6384,0.173,0.202,-3.75369,51.5913
Bridgend 002,8,7415,0.219,0.244,-3.71919,51.5638
Bridgend 005,7,6202,0.259,0.277,-3.62619,51.6062
Bridgend 006,10,5406,0.12,0.124,-3.65016,51.5875
Bridgend 007,8,6014,0.115,0.152,-3.61165,51.5509
Bridgend 008,4,8886,0.158,0.15,-3.5588,51.5479
Bridgend 010,9,7059,0.189,0.204,-3.65883,51.5326
Bridgend 018,5,9009,0.14,0.124,-3.70538,51.5185
Bridgend 019,15,6996,0.116,0.099,-3.7068,51.49
"Rhondda, Cynon, Taff 023",19,9810,0.172,0.189,-3.67647,51.4891
Chester 006,0,7039,0.195,0.236,-3.45133,51.5834
Chester 010,0,8909,0.098,0.127,-2.92986,53.2018
Chester 014,0,8181,0.048,0.079,-2.90727,53.1939
Chester 015,0,6419,0.324,0.392,-2.89358,53.1793
"Rhondda, Cynon, Taff 028",9,7703,0.071,0.074,-2.91742,53.173
"Rhondda, Cynon, Taff 030",3,7610,0.037,0.04,-3.35871,51.5633
Cardiff 037,16,7213,0.135,0.228,-3.37388,51.5482
Chester 017,0,7973,0.065,0.082,-3.1352,51.4848
North Shropshire 001,0,9871,0.085,0.105,-2.78498,53.0437
North Shropshire 002,0,7503,0.094,0.133,-2.6908,52.9718
North Shropshire 007,0,7942,0.059,0.055,-2.58563,52.9318
Neath Port Talbot 016,16,9808,0.089,0.053,-2.77931,52.8521
Neath Port Talbot 017,19,9264,0.263,0.296,-3.82176,51.6041
"Rhondda, Cynon, Taff 020",14,5639,0.161,0.168,-3.79981,51.5955
"Rhondda, Cynon, Taff 024",4,5927,0.301,0.358,-3.41649,51.6063
,,,,,-3.40352,51.5791
